prompt,health_ailment,date
"Since The first week of November 2019, I’ve been dealing with Plantar Fasciitis.",Plantar Fasciitis,The first week of November 2019
I have had Fibromyalgia since 03/21/2020 – 03/25/2020.,Fibromyalgia,03/21/2020 – 03/25/2020
I have had Epilepsy since Past 30 days.,Epilepsy,Past 30 days
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),2019/12/15 – 2019/12/19
"Since The last quarter of 2019, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),The last quarter of 2019
I’ve been suffering from Hypertrophic Cardiomyopathy ever since 2020/02/05 – 2020/02/10.,Hypertrophic Cardiomyopathy,2020/02/05 – 2020/02/10
I've been experiencing Chronic Kidney Disease since 03/20/2020 – 03/27/2020.,Chronic Kidney Disease,03/20/2020 – 03/27/2020
I’ve been suffering from Heart Palpitations ever since 2019/11/10 – 2019/11/12.,Heart Palpitations,2019/11/10 – 2019/11/12
I’ve been suffering from Shingles (Herpes Zoster) ever since Yesterday.,Shingles (Herpes Zoster),Yesterday
Fatigue from Iron Deficiency have been affecting me since 03/11/2020 – 03/14/2020.,Fatigue from Iron Deficiency,03/11/2020 – 03/14/2020
"Since 03/01/2020 – 03/05/2020, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),03/01/2020 – 03/05/2020
I’ve been suffering from Exercise-Induced Hypoglycemia ever since 03/20/2020 – 03/27/2020.,Exercise-Induced Hypoglycemia,03/20/2020 – 03/27/2020
"Since Last month, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Last month
I’ve been suffering from Rosacea ever since 2019/12/08 – 2019/12/12.,Rosacea,2019/12/08 – 2019/12/12
Gout have been affecting me since Every morning this week.,Gout,Every morning this week
"Since Past week, I’ve been dealing with Gallstones.",Gallstones,Past week
I've been experiencing Heart Palpitations since Past 2 weeks.,Heart Palpitations,Past 2 weeks
Celiac Disease have been affecting me since 03/21/2020 – 03/25/2020.,Celiac Disease,03/21/2020 – 03/25/2020
I have had Heat Exhaustion since 2019/12/15 – 2019/12/19.,Heat Exhaustion,2019/12/15 – 2019/12/19
I've been experiencing Type 2 Diabetes since 2020/02/15 – 2020/02/20.,Type 2 Diabetes,2020/02/15 – 2020/02/20
I have Chronic Back Pain since 2020/01/11 – 2020/01/15.,Chronic Back Pain,2020/01/11 – 2020/01/15
I have Rheumatoid Arthritis since Over the last school semester.,Rheumatoid Arthritis,Over the last school semester
I’ve been suffering from Shingles (Herpes Zoster) ever since Last weekend.,Shingles (Herpes Zoster),Last weekend
"Since Past week, I’ve been dealing with Glaucoma.",Glaucoma,Past week
"Since 03/06/2020 – 03/10/2020, I’ve been dealing with Exercise-Induced Hypoglycemia.",Exercise-Induced Hypoglycemia,03/06/2020 – 03/10/2020
I've been experiencing Peptic Ulcer Disease since Last weekend.,Peptic Ulcer Disease,Last weekend
I have had Anemia Eczema (Atopic Dermatitis) since 2019/11/05 – 2019/11/06.,Anemia Eczema (Atopic Dermatitis),2019/11/05 – 2019/11/06
"Since From 07:00 PM to 10:00 PM yesterday, I’ve been dealing with Shin Splints.",Shin Splints,From 07:00 PM to 10:00 PM yesterday
I have Hypertrophic Cardiomyopathy since Past 3 hours.,Hypertrophic Cardiomyopathy,Past 3 hours
I have had Rosacea since Since the beginning of this year.,Rosacea,Since the beginning of this year
I have had Epilepsy since 2019/12/15 – 2019/12/19.,Epilepsy,2019/12/15 – 2019/12/19
Rheumatoid Arthritis have been affecting me since For the past 4 days.,Rheumatoid Arthritis,For the past 4 days
I've been experiencing High Cholesterol (Hyperlipidemia) since 03/01/2020 – 03/15/2020.,High Cholesterol (Hyperlipidemia),03/01/2020 – 03/15/2020
I've been experiencing Chronic Sinusitis since 03/26/2020 – 03/29/2020.,Chronic Sinusitis,03/26/2020 – 03/29/2020
I've been experiencing Insomnia since Since the beginning of this year.,Insomnia,Since the beginning of this year
I have Hyperthyroidism since Past week.,Hyperthyroidism,Past week
I’ve been suffering from Chronic Back Pain ever since 2020/01/11 – 2020/01/15.,Chronic Back Pain,2020/01/11 – 2020/01/15
I've been experiencing Orthostatic Intolerance since Since last night at midnight.,Orthostatic Intolerance,Since last night at midnight
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,2020/02/05 – 2020/02/10
"Since Over the last school semester, I’ve been dealing with Obesity.",Obesity,Over the last school semester
I've been experiencing Insomnia since 03/06/2020 – 03/10/2020.,Insomnia,03/06/2020 – 03/10/2020
"Since 03/15/2020 – 03/19/2020, I’ve been dealing with Restless Legs Syndrome.",Restless Legs Syndrome,03/15/2020 – 03/19/2020
Migraine have been affecting me since Since the beginning of this year.,Migraine,Since the beginning of this year
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since 2019/11/03 – 2019/11/07.,Anemia Eczema (Atopic Dermatitis),2019/11/03 – 2019/11/07
I have Restless Legs Syndrome since Over the last school semester.,Restless Legs Syndrome,Over the last school semester
I’ve been suffering from Postural Orthostatic Tachycardia Syndrome (POTS) ever since Between 02/10/2020 and 02/20/2020.,Postural Orthostatic Tachycardia Syndrome (POTS),Between 02/10/2020 and 02/20/2020
"I have had Restless Legs Syndrome since Today, 08:00 AM – 11:00 AM.",Restless Legs Syndrome,"Today, 08:00 AM – 11:00 AM"
I have had Psoriasis Urinary Tract Infection (UTI) since The last quarter of 2019.,Psoriasis Urinary Tract Infection (UTI),The last quarter of 2019
I have Overtraining Syndrome since 2019/12/20 – 2019/12/27.,Overtraining Syndrome,2019/12/20 – 2019/12/27
I’ve been suffering from Obesity ever since 2019/11/29 – 2019/12/15.,Obesity,2019/11/29 – 2019/12/15
I've been experiencing Hypertrophic Cardiomyopathy since Between 02/10/2020 and 02/20/2020.,Hypertrophic Cardiomyopathy,Between 02/10/2020 and 02/20/2020
I've been experiencing Chronic Back Pain since Past 3 hours.,Chronic Back Pain,Past 3 hours
Common Cold have been affecting me since Past 30 days.,Common Cold,Past 30 days
I have Migraine since Past 12 hours.,Migraine,Past 12 hours
I have Bradycardia (Slow Heart Rate) since Last 2 months.,Bradycardia (Slow Heart Rate),Last 2 months
I’ve been suffering from Overtraining Syndrome ever since Past 2 weeks.,Overtraining Syndrome,Past 2 weeks
I have Asthma since 2020/02/15 – 2020/02/20.,Asthma,2020/02/15 – 2020/02/20
"Since 2020/01/28 – 2020/02/02, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),2020/01/28 – 2020/02/02
"Since Since the beginning of this year, I’ve been dealing with Restless Legs Syndrome.",Restless Legs Syndrome,Since the beginning of this year
I have had Peripheral Neuropathy since Over the last school semester.,Peripheral Neuropathy,Over the last school semester
I have Celiac Disease since 2020/01/11 – 2020/01/15.,Celiac Disease,2020/01/11 – 2020/01/15
I’ve been suffering from Heat Exhaustion ever since 2020/02/22 – 2020/02/25.,Heat Exhaustion,2020/02/22 – 2020/02/25
I have had Dehydration since The first week of November 2019.,Dehydration,The first week of November 2019
Depression have been affecting me since Last weekend.,Depression,Last weekend
I have Delayed Onset Muscle Soreness (DOMS) since Past 6 hours.,Delayed Onset Muscle Soreness (DOMS),Past 6 hours
I have had Chronic Sinusitis since 2020/01/28 – 2020/02/02.,Chronic Sinusitis,2020/01/28 – 2020/02/02
Epilepsy have been affecting me since 2019/11/05 – 2019/11/06.,Epilepsy,2019/11/05 – 2019/11/06
I’ve been suffering from Heat Exhaustion ever since Over the last school semester.,Heat Exhaustion,Over the last school semester
Exercise-Induced Hypoglycemia have been affecting me since Between 02/10/2020 and 02/20/2020.,Exercise-Induced Hypoglycemia,Between 02/10/2020 and 02/20/2020
I have had Benign Prostatic Hyperplasia (BPH) since This month (up to today).,Benign Prostatic Hyperplasia (BPH),This month (up to today)
I have Overtraining Syndrome since Every morning this week.,Overtraining Syndrome,Every morning this week
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since Last 3 months.,Bradycardia (Slow Heart Rate),Last 3 months
I have had Exertional Rhabdomyolysis since 2019/12/20 – 2019/12/27.,Exertional Rhabdomyolysis,2019/12/20 – 2019/12/27
"Since 03/01/2020 – 03/05/2020, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),03/01/2020 – 03/05/2020
I have Hyperthyroidism since Past 3 hours.,Hyperthyroidism,Past 3 hours
I've been experiencing Heat Exhaustion since From 07:00 PM to 10:00 PM yesterday.,Heat Exhaustion,From 07:00 PM to 10:00 PM yesterday
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since The entire month of February 2020.,Runner’s Knee (Patellofemoral Pain Syndrome),The entire month of February 2020
Iliotibial Band Syndrome (ITBS) have been affecting me since Past 1 hour.,Iliotibial Band Syndrome (ITBS),Past 1 hour
I have Exertional Rhabdomyolysis since From 07:00 PM to 10:00 PM yesterday.,Exertional Rhabdomyolysis,From 07:00 PM to 10:00 PM yesterday
I've been experiencing Polycystic Ovary Syndrome (PCOS) since Last 2 months.,Polycystic Ovary Syndrome (PCOS),Last 2 months
I have Shingles (Herpes Zoster) since 2020/02/11 – 2020/02/14.,Shingles (Herpes Zoster),2020/02/11 – 2020/02/14
Gallstones have been affecting me since Past 1 hour.,Gallstones,Past 1 hour
Polycystic Ovary Syndrome (PCOS) have been affecting me since 2019/11/18 – 2019/11/22.,Polycystic Ovary Syndrome (PCOS),2019/11/18 – 2019/11/22
I have Postural Orthostatic Tachycardia Syndrome (POTS) since For the past 10 minutes.,Postural Orthostatic Tachycardia Syndrome (POTS),For the past 10 minutes
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Benign Prostatic Hyperplasia (BPH).",Benign Prostatic Hyperplasia (BPH),03/21/2020 – 03/25/2020
I have Migraine since This month (up to today).,Migraine,This month (up to today)
I’ve been suffering from Chronic Kidney Disease ever since Since last Monday.,Chronic Kidney Disease,Since last Monday
I have Epilepsy since 12/30/2019 – 01/10/2020.,Epilepsy,12/30/2019 – 01/10/2020
High Cholesterol (Hyperlipidemia) have been affecting me since 2019/12/08 – 2019/12/12.,High Cholesterol (Hyperlipidemia),2019/12/08 – 2019/12/12
"Since Since turning 30 years old, I’ve been dealing with Benign Prostatic Hyperplasia (BPH).",Benign Prostatic Hyperplasia (BPH),Since turning 30 years old
I have Hypertension (High Blood Pressure) since 2019/11/18 – 2019/11/22.,Hypertension (High Blood Pressure),2019/11/18 – 2019/11/22
Pneumonia have been affecting me since From 03/01/2020 to 03/07/2020.,Pneumonia,From 03/01/2020 to 03/07/2020
I have Restless Legs Syndrome since 03/20/2020 – 03/27/2020.,Restless Legs Syndrome,03/20/2020 – 03/27/2020
I’ve been suffering from Delayed Onset Muscle Soreness (DOMS) ever since For the past 4 days.,Delayed Onset Muscle Soreness (DOMS),For the past 4 days
"Since 03/01/2020 – 03/05/2020, I’ve been dealing with Common Cold.",Common Cold,03/01/2020 – 03/05/2020
Bradycardia (Slow Heart Rate) have been affecting me since Past 2 weeks.,Bradycardia (Slow Heart Rate),Past 2 weeks
"Since Past 30 days, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Past 30 days
I have Glaucoma since 12/30/2019 – 01/10/2020.,Glaucoma,12/30/2019 – 01/10/2020
I have Anxiety Disorder since Last weekend.,Anxiety Disorder,Last weekend
I've been experiencing Rheumatoid Arthritis since 12/30/2019 – 01/10/2020.,Rheumatoid Arthritis,12/30/2019 – 01/10/2020
Type 2 Diabetes have been affecting me since Yesterday.,Type 2 Diabetes,Yesterday
I have had Bradycardia (Slow Heart Rate) since Past 30 days.,Bradycardia (Slow Heart Rate),Past 30 days
I’ve been suffering from Delayed Onset Muscle Soreness (DOMS) ever since 2019/11/18 – 2019/11/22.,Delayed Onset Muscle Soreness (DOMS),2019/11/18 – 2019/11/22
I have Depression since Last weekend.,Depression,Last weekend
Anemia Eczema (Atopic Dermatitis) have been affecting me since 03/01/2020 – 03/05/2020.,Anemia Eczema (Atopic Dermatitis),03/01/2020 – 03/05/2020
I have Glaucoma since From 07:00 PM to 10:00 PM yesterday.,Glaucoma,From 07:00 PM to 10:00 PM yesterday
Chronic Fatigue Syndrome have been affecting me since Since my last doctor’s visit.,Chronic Fatigue Syndrome,Since my last doctor’s visit
I have had Acid Reflux (GERD) since Last 36 hours.,Acid Reflux (GERD),Last 36 hours
"Since 03/01/2020 – 03/15/2020, I’ve been dealing with Celiac Disease.",Celiac Disease,03/01/2020 – 03/15/2020
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since Last month.,Attention Deficit Hyperactivity Disorder (ADHD),Last month
I have had Exercise-Induced Hypoglycemia since The second half of November 2019.,Exercise-Induced Hypoglycemia,The second half of November 2019
I’ve been suffering from Runner’s Knee (Patellofemoral Pain Syndrome) ever since Past 1 hour.,Runner’s Knee (Patellofemoral Pain Syndrome),Past 1 hour
Gout have been affecting me since Last 2 months.,Gout,Last 2 months
I’ve been suffering from Muscle Strain ever since 2020/01/11 – 2020/01/15.,Muscle Strain,2020/01/11 – 2020/01/15
"Since 03/26/2020 – 03/29/2020, I’ve been dealing with Bradycardia (Slow Heart Rate).",Bradycardia (Slow Heart Rate),03/26/2020 – 03/29/2020
I've been experiencing Chronic Back Pain since The first week of November 2019.,Chronic Back Pain,The first week of November 2019
"I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since Today, 08:00 AM – 11:00 AM.",High Cholesterol (Hyperlipidemia),"Today, 08:00 AM – 11:00 AM"
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since Last weekend.,Runner’s Knee (Patellofemoral Pain Syndrome),Last weekend
"Since Past 6 hours, I’ve been dealing with Chronic Fatigue Syndrome.",Chronic Fatigue Syndrome,Past 6 hours
I have had Hypertrophic Cardiomyopathy since Since my last doctor’s visit.,Hypertrophic Cardiomyopathy,Since my last doctor’s visit
I have Pneumonia since Since the beginning of this year.,Pneumonia,Since the beginning of this year
I’ve been suffering from Hypothyroidism ever since Last month.,Hypothyroidism,Last month
I’ve been suffering from Heart Palpitations ever since 03/26/2020 – 03/29/2020.,Heart Palpitations,03/26/2020 – 03/29/2020
I’ve been suffering from Epilepsy ever since 03/06/2020 – 03/10/2020.,Epilepsy,03/06/2020 – 03/10/2020
I’ve been suffering from Acid Reflux (GERD) ever since From 07:00 PM to 10:00 PM yesterday.,Acid Reflux (GERD),From 07:00 PM to 10:00 PM yesterday
I've been experiencing Fatigue from Iron Deficiency since 03/01/2020 – 03/15/2020.,Fatigue from Iron Deficiency,03/01/2020 – 03/15/2020
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Exertional Rhabdomyolysis.",Exertional Rhabdomyolysis,2019/11/03 – 2019/11/07
I've been experiencing Gout since 2019/12/15 – 2019/12/19.,Gout,2019/12/15 – 2019/12/19
Anxiety Disorder have been affecting me since 2019/12/15 – 2019/12/19.,Anxiety Disorder,2019/12/15 – 2019/12/19
Hypothyroidism have been affecting me since 2020/01/11 – 2020/01/15.,Hypothyroidism,2020/01/11 – 2020/01/15
I have had Delayed Onset Muscle Soreness (DOMS) since 2020/02/11 – 2020/02/14.,Delayed Onset Muscle Soreness (DOMS),2020/02/11 – 2020/02/14
I have had Rosacea since For the past 10 minutes.,Rosacea,For the past 10 minutes
I’ve been suffering from Type 2 Diabetes ever since 03/15/2020 – 03/19/2020.,Type 2 Diabetes,03/15/2020 – 03/19/2020
Epilepsy have been affecting me since 03/06/2020 – 03/10/2020.,Epilepsy,03/06/2020 – 03/10/2020
I've been experiencing Hypertension (High Blood Pressure) since For the past 10 minutes.,Hypertension (High Blood Pressure),For the past 10 minutes
"Since 2019/12/20 – 2019/12/27, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,2019/12/20 – 2019/12/27
Dehydration have been affecting me since 2020/01/11 – 2020/01/15.,Dehydration,2020/01/11 – 2020/01/15
Rosacea have been affecting me since From 03/01/2020 to 03/07/2020.,Rosacea,From 03/01/2020 to 03/07/2020
I've been experiencing Delayed Onset Muscle Soreness (DOMS) since The second half of November 2019.,Delayed Onset Muscle Soreness (DOMS),The second half of November 2019
Hypertrophic Cardiomyopathy have been affecting me since 2020/02/15 – 2020/02/20.,Hypertrophic Cardiomyopathy,2020/02/15 – 2020/02/20
I have Osteoarthritis since During Spring 2020.,Osteoarthritis,During Spring 2020
I've been experiencing Chronic Back Pain since The first week of November 2019.,Chronic Back Pain,The first week of November 2019
I have Anxiety Disorder since Past week.,Anxiety Disorder,Past week
I've been experiencing Fatigue from Iron Deficiency since Yesterday.,Fatigue from Iron Deficiency,Yesterday
I've been experiencing Hyperthyroidism since 03/21/2020 – 03/25/2020.,Hyperthyroidism,03/21/2020 – 03/25/2020
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since Since the COVID-19 pandemic began.,Attention Deficit Hyperactivity Disorder (ADHD),Since the COVID-19 pandemic began
Exertional Rhabdomyolysis have been affecting me since 2019/11/03 – 2019/11/07.,Exertional Rhabdomyolysis,2019/11/03 – 2019/11/07
Achilles Tendinitis have been affecting me since 12/30/2019 – 01/10/2020.,Achilles Tendinitis,12/30/2019 – 01/10/2020
"Since Today, 08:00 AM – 11:00 AM, I’ve been dealing with Depression.",Depression,"Today, 08:00 AM – 11:00 AM"
I have had Shin Splints since 2019/11/29 – 2019/12/15.,Shin Splints,2019/11/29 – 2019/12/15
I have Joint Sprain since 12/30/2019 – 01/10/2020.,Joint Sprain,12/30/2019 – 01/10/2020
"Since From 03/01/2020 to 03/07/2020, I’ve been dealing with Restless Legs Syndrome.",Restless Legs Syndrome,From 03/01/2020 to 03/07/2020
I have Celiac Disease since Over the last school semester.,Celiac Disease,Over the last school semester
I've been experiencing Polycystic Ovary Syndrome (PCOS) since 2020/01/11 – 2020/01/15.,Polycystic Ovary Syndrome (PCOS),2020/01/11 – 2020/01/15
I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since The entire month of February 2020.,High Cholesterol (Hyperlipidemia),The entire month of February 2020
"Since During the holiday season 2019, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),During the holiday season 2019
I’ve been suffering from Osteoarthritis ever since 2019/11/10 – 2019/11/12.,Osteoarthritis,2019/11/10 – 2019/11/12
I’ve been suffering from Exertional Rhabdomyolysis ever since Between 02/10/2020 and 02/20/2020.,Exertional Rhabdomyolysis,Between 02/10/2020 and 02/20/2020
I have Migraine since 12/30/2019 – 01/10/2020.,Migraine,12/30/2019 – 01/10/2020
I have Exercise-Induced Hypoglycemia since The entire month of February 2020.,Exercise-Induced Hypoglycemia,The entire month of February 2020
Obesity have been affecting me since Past 3 hours.,Obesity,Past 3 hours
I've been experiencing Benign Prostatic Hyperplasia (BPH) since 2019/11/03 – 2019/11/07.,Benign Prostatic Hyperplasia (BPH),2019/11/03 – 2019/11/07
I have had Bradycardia (Slow Heart Rate) since 2020/02/15 – 2020/02/20.,Bradycardia (Slow Heart Rate),2020/02/15 – 2020/02/20
I have Migraine since The entire month of February 2020.,Migraine,The entire month of February 2020
I have had Anxiety Disorder since 2020/01/28 – 2020/02/02.,Anxiety Disorder,2020/01/28 – 2020/02/02
I have had Tachycardia (Fast Heart Rate) since Since the COVID-19 pandemic began.,Tachycardia (Fast Heart Rate),Since the COVID-19 pandemic began
I have had Runner’s Knee (Patellofemoral Pain Syndrome) since Last 36 hours.,Runner’s Knee (Patellofemoral Pain Syndrome),Last 36 hours
I have had Chronic Sinusitis since 03/21/2020 – 03/25/2020.,Chronic Sinusitis,03/21/2020 – 03/25/2020
I’ve been suffering from Anxiety Disorder ever since Yesterday.,Anxiety Disorder,Yesterday
I’ve been suffering from Orthostatic Intolerance ever since 2019/12/01 – 2019/12/05.,Orthostatic Intolerance,2019/12/01 – 2019/12/05
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since 2019/11/05 – 2019/11/06.,Bradycardia (Slow Heart Rate),2019/11/05 – 2019/11/06
I've been experiencing Migraine since Last 3 months.,Migraine,Last 3 months
"Since Today, 08:00 AM – 11:00 AM, I’ve been dealing with Pneumonia.",Pneumonia,"Today, 08:00 AM – 11:00 AM"
I have Muscle Strain since Since turning 30 years old.,Muscle Strain,Since turning 30 years old
Hypertension (High Blood Pressure) have been affecting me since Past 6 hours.,Hypertension (High Blood Pressure),Past 6 hours
I’ve been suffering from Osteoarthritis ever since Past 1 hour.,Osteoarthritis,Past 1 hour
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since 2019/11/05 – 2019/11/06.,Runner’s Knee (Patellofemoral Pain Syndrome),2019/11/05 – 2019/11/06
I've been experiencing Gout since Last 3 months.,Gout,Last 3 months
I have Exercise-Induced Hypoglycemia since Last month.,Exercise-Induced Hypoglycemia,Last month
High Cholesterol (Hyperlipidemia) have been affecting me since 2020/01/11 – 2020/01/15.,High Cholesterol (Hyperlipidemia),2020/01/11 – 2020/01/15
I have had Pneumonia since 03/21/2020 – 03/25/2020.,Pneumonia,03/21/2020 – 03/25/2020
I've been experiencing Migraine since 03/11/2020 – 03/14/2020.,Migraine,03/11/2020 – 03/14/2020
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Tachycardia (Fast Heart Rate).",Tachycardia (Fast Heart Rate),2019/12/15 – 2019/12/19
"Since 2020/01/01 – 2020/01/07, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),2020/01/01 – 2020/01/07
"Since 2020/02/11 – 2020/02/14, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,2020/02/11 – 2020/02/14
I've been experiencing Obesity since 12/30/2019 – 01/10/2020.,Obesity,12/30/2019 – 01/10/2020
I've been experiencing Gout since During the holiday season 2019.,Gout,During the holiday season 2019
I have Fibromyalgia since For the past 4 days.,Fibromyalgia,For the past 4 days
I've been experiencing Hypertension (High Blood Pressure) since Past 1 hour.,Hypertension (High Blood Pressure),Past 1 hour
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since The second half of November 2019.,Attention Deficit Hyperactivity Disorder (ADHD),The second half of November 2019
"Since 2019/12/01 – 2019/12/05, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),2019/12/01 – 2019/12/05
I have Orthostatic Intolerance since Over the last school semester.,Orthostatic Intolerance,Over the last school semester
Overtraining Syndrome have been affecting me since Since the beginning of this year.,Overtraining Syndrome,Since the beginning of this year
Acid Reflux (GERD) have been affecting me since Last 3 months.,Acid Reflux (GERD),Last 3 months
I've been experiencing Polycystic Ovary Syndrome (PCOS) since Since the COVID-19 pandemic began.,Polycystic Ovary Syndrome (PCOS),Since the COVID-19 pandemic began
"Since Every morning this week, I’ve been dealing with Fatigue from Iron Deficiency.",Fatigue from Iron Deficiency,Every morning this week
I have Peptic Ulcer Disease since Past 1 hour.,Peptic Ulcer Disease,Past 1 hour
Heat Exhaustion have been affecting me since Since turning 30 years old.,Heat Exhaustion,Since turning 30 years old
"Since Past 6 hours, I’ve been dealing with Joint Sprain.",Joint Sprain,Past 6 hours
I've been experiencing Pneumonia since 03/01/2020 – 03/15/2020.,Pneumonia,03/01/2020 – 03/15/2020
I've been experiencing Shin Splints since 2020/02/05 – 2020/02/10.,Shin Splints,2020/02/05 – 2020/02/10
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since 03/26/2020 – 03/29/2020.,Allergic Rhinitis (Seasonal Allergies),03/26/2020 – 03/29/2020
I've been experiencing Joint Sprain since 2019/12/08 – 2019/12/12.,Joint Sprain,2019/12/08 – 2019/12/12
"Since 03/15/2020 – 03/19/2020, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),03/15/2020 – 03/19/2020
I've been experiencing Chronic Back Pain since The entire month of February 2020.,Chronic Back Pain,The entire month of February 2020
I have had Exertional Rhabdomyolysis since Yesterday.,Exertional Rhabdomyolysis,Yesterday
I’ve been suffering from Chronic Sinusitis ever since Past week.,Chronic Sinusitis,Past week
I've been experiencing Peptic Ulcer Disease since 2020/01/01 – 2020/01/07.,Peptic Ulcer Disease,2020/01/01 – 2020/01/07
"I've been experiencing Hyperthyroidism since Today, 08:00 AM – 11:00 AM.",Hyperthyroidism,"Today, 08:00 AM – 11:00 AM"
I’ve been suffering from Peripheral Neuropathy ever since The entire month of February 2020.,Peripheral Neuropathy,The entire month of February 2020
I have had Celiac Disease since The entire month of February 2020.,Celiac Disease,The entire month of February 2020
I have Chronic Kidney Disease since 03/01/2020 – 03/05/2020.,Chronic Kidney Disease,03/01/2020 – 03/05/2020
I’ve been suffering from Depression ever since 2019/12/08 – 2019/12/12.,Depression,2019/12/08 – 2019/12/12
"Since Past 6 hours, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,Past 6 hours
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Iliotibial Band Syndrome (ITBS).",Iliotibial Band Syndrome (ITBS),2019/12/15 – 2019/12/19
I have had Runner’s Knee (Patellofemoral Pain Syndrome) since This month (up to today).,Runner’s Knee (Patellofemoral Pain Syndrome),This month (up to today)
I've been experiencing Common Cold since Last 3 months.,Common Cold,Last 3 months
I’ve been suffering from Hypertrophic Cardiomyopathy ever since Last 2 months.,Hypertrophic Cardiomyopathy,Last 2 months
Asthma have been affecting me since 2020/01/20 – 2020/01/25.,Asthma,2020/01/20 – 2020/01/25
I have had Bradycardia (Slow Heart Rate) since The entire month of February 2020.,Bradycardia (Slow Heart Rate),The entire month of February 2020
I’ve been suffering from Celiac Disease ever since Last weekend.,Celiac Disease,Last weekend
I’ve been suffering from Hyperthyroidism ever since Past 12 hours.,Hyperthyroidism,Past 12 hours
I have had Psoriasis Urinary Tract Infection (UTI) since 2019/11/18 – 2019/11/22.,Psoriasis Urinary Tract Infection (UTI),2019/11/18 – 2019/11/22
Gallstones have been affecting me since Past week.,Gallstones,Past week
"Since Since the COVID-19 pandemic began, I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),Since the COVID-19 pandemic began
I have Chronic Kidney Disease since 03/20/2020 – 03/27/2020.,Chronic Kidney Disease,03/20/2020 – 03/27/2020
I have Depression since Since the COVID-19 pandemic began.,Depression,Since the COVID-19 pandemic began
"Since Last 3 hours, I’ve been dealing with Epilepsy.",Epilepsy,Last 3 hours
I've been experiencing Peripheral Neuropathy since 2019/12/01 – 2019/12/05.,Peripheral Neuropathy,2019/12/01 – 2019/12/05
I have Insomnia since The first week of November 2019.,Insomnia,The first week of November 2019
I have Exercise-Induced Hypoglycemia since 2019/12/08 – 2019/12/12.,Exercise-Induced Hypoglycemia,2019/12/08 – 2019/12/12
"I've been experiencing Celiac Disease since Today, 08:00 AM – 11:00 AM.",Celiac Disease,"Today, 08:00 AM – 11:00 AM"
I have Heat Exhaustion since 03/11/2020 – 03/14/2020.,Heat Exhaustion,03/11/2020 – 03/14/2020
"Since The second half of November 2019, I’ve been dealing with Fatigue from Iron Deficiency.",Fatigue from Iron Deficiency,The second half of November 2019
Hypertrophic Cardiomyopathy have been affecting me since Since last Monday.,Hypertrophic Cardiomyopathy,Since last Monday
I have had High Cholesterol (Hyperlipidemia) since 2020/02/22 – 2020/02/25.,High Cholesterol (Hyperlipidemia),2020/02/22 – 2020/02/25
I’ve been suffering from Shin Splints ever since 03/06/2020 – 03/10/2020.,Shin Splints,03/06/2020 – 03/10/2020
I've been experiencing Gallstones since Since the beginning of this year.,Gallstones,Since the beginning of this year
"Since 2020/01/20 – 2020/01/25, I’ve been dealing with Shin Splints.",Shin Splints,2020/01/20 – 2020/01/25
